File,Hit,LeftContext,TargetWord,RightContext,DepVar,HelpClass,HelpInflection,VerbLemma,InterveningWords,ObjPresent,ObjPronoun,ObjLength,ObjHead,HelpPolarity,PrecedingTo,SubjType,SubjHead,SubjAnimacy,CompLemma,CompTag
137628_1885-07-14_The Vote of Credit—naval Administration of the Late Government—observations.txt,1,"my practical conclusion is, that whether we take the returns of tons, which has been our system, or of percentages of progress, which is the French system—they do not really",help,"us much. There are three stages in the building of a ship which cannot mislead anyone — first, when a ship is laid down; next, when a ship is launched, which shows she must have made considerable progress; and, lastly, when she is ready for sea. These are the points to which my attention has been mainly directed with respect",NA,VERB,VB,NA,NA,NA,NA,NA,NA,NEG,NOtoBefore,PRON,they,Animate,be,VBP
137628_1885-07-14_The Vote of Credit—naval Administration of the Late Government—observations.txt,2,a position to afford that full information which the noble Earl the late First Lord states that he had in his breast with regard to these financial matters. I cannot,help,"thinking that the revelations which have been made point to a very loose arrangement and great defects in the Department. It does seem extraordinary that it should take three weeks' pressing before the Head of a great Department can find out that the Department was under a liability of nearly £1,000,000 more than had been publicly stated. After the speech",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,I,Animate,think,VBG
137628_1885-07-14_The Vote of Credit—naval Administration of the Late Government—observations.txt,3,"ships out of the Channel Squadron, we should continue liable to the charge of being content with a paper Fleet. The Committee on which he served last year could not",help,"seeing that there was room for still further inquiry as to the constitution of the Admiralty, and the administration of the Dockyards. The country certainly ought to be satisfied that steamers taken up for transport had been obtained on reasonable terms, in a favourable market, and that money's worth had been obtained for the money expended. Motion agreed to.",ING,VERB,VB,see,0,No,NA,NA,NA,NEG,NOtoBefore,NP,year,Inanimate,see,VBG
137159_1885-06-08_Supplemental Provisions.txt,4,"be laid before both Houses of Parliament. He hoped that it would meet the suggestion of the noble Marquess opposite (the Marquess of Salisbury). VISCOUNT CRANBROOK said, he could not",help,"expressing his surprise that, after what had already taken place on this subject, they should keep open a controversy for years to come with regard to so trivial a matter. He thought it would be better to settle the question now. LORD NORTON said, he wished to point out that there would be difficulties in ascertaining the views of the",ING,VERB,VB,express,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,express,VBG
"138182_1885-07-29_Class Iv—education, Science, and Art.txt",5,their children. At another place in the county of Cork the model school was attended by a good many of the Catholic population for the reason that they could not,help,"it, its appliances being superior to those of the parish school, with which, in consequence, it entered into unfair rivalry. In most particulars the description given by his hon. Friend the Member for Carlow (Mr. Dawson) was absolutely correct. He (Colonel Colthurst) hoped the Government would give effect to the recommendation of the Committee, and he joined his hon. Friend",NA,VERB,VB,NA,NA,NA,NA,NA,NA,NEG,NOtoBefore,PRON,they,Animate,enter,VBD
138042_1885-07-26_Question Observations.txt,6,doubt that it was now absolutely unsafe. The Military Authorities did not consider that it would be desirable to retain the prisoners in the building any longer than could be,helped,", and they were as anxious as anybody else to get them out of this very dangerous position. The noble Marquess might therefore consider that the prison was condemned, and that as soon as room could be found elsewhere the prisoners would be removed from their present quarters. The necessary arrangements would be made as soon as possible, and the prison",NA,VERB,VBN,NA,NA,NA,NA,NA,NA,POS,NOtoBefore,NP,building,Inanimate,get,VB
138234_1885-07-30_Supply—report.txt,7,"jurisdiction. He urged this point, because he knew not how many pages of our South African experiences teemed with warnings of the risks and mischiefs of leaving our officers in",helpless,"positions, when they were inadequately equipped with executive resources. He should have liked, had there been more time, to speak of Zululand; but he would not abuse the patience of the House. He would content himself with saying that the spirit of the observations which he had ventured to make with regard to Bechuanaland was equally applicable to Zululand; and",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138234_1885-07-30_Supply—report.txt,8,"in this important matter of the transmission of the mails, its very poverty ought to be an additional reason why the public Revenue should be applied to give it a",helping,"hand. Somebody must lose, and he did not think it was fair to ask the Railway Company to lose. The Railway Company were willing to give an improved service at the lowest rate that would not involve loss to the shareholders; and he did not see why, under those circumstances, such a Department as the Post Office, which made an",NA,ADJ,JJ,NA,NA,NA,NA,NA,NA,POS,YEStoBefore,PRON,it,Inanimate,lose,VB
138103_1885-07-27_Supply—considered in Committee.txt,9,"since then he had absolutely defied the authority of his superior—the High Commissioner of South Africa. That being the effect of the proceedings of Sir Charles Warren, he could not",help,"thinking that the Papers laid upon the Table showed an extreme want of discretion on the part of that officer. He had asserted his authority in South Africa with a very high hand, as was shown by the transactions which had occurred in regard to the death of a man who lost his life in South Africa some years previously,",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
138103_1885-07-27_Supply—considered in Committee.txt,10,"to the submarine mine defence of our commercial ports, and to form in connection with this corps Volunteer Submarine Mining Companies. This system has already been successfully tested by the",help,"of Colonel Palmer, M.P., of the 1st Newcastle and Durham Engineer Volunteers; and it has consequently been decided to form four Volunteer Companies (as an increase to the establishment of the regiments) for the defence of the Tyne, Mersey, Clyde, and Severn—for the Tyne, the 1st Newcastle and Durham Engineer Volunteers; for the Mersey, the 1st Lancashire Engineer Volunteers; for",NA,NOUN,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138103_1885-07-27_Supply—considered in Committee.txt,11,"was making the Army Estimates responsible for Naval armaments. It certainly did seem to be an anomaly, and an anomaly that it was difficult to justify; and he could not",help,"admitting that it would be better that the Admiralty should be responsible for, and should supply themselves with, their own armaments. [Captain AYLMER: It is only a question of accounts.] The hon. and gallant Gentleman behind him said it was only a question of accounts; but, in his opinion, it had unfortunately been treated too long as merely a matter",ING,VERB,VB,admit,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,admit,VBG
138103_1885-07-27_Supply—considered in Committee.txt,12,"was that such a change could be made, and that the Admiralty might treat the War Office just as it treated the contractors with whom, it dealt. He could not",help,"thinking that the advantage of that would be very great. Of course, the statement that had been made by the right hon. Gentleman the Secretary of State for War (Mr. W. H. Smith) was extremely satisfactory to him, because it was really the programme of the late Government, both as regarded armaments, submarine stores, and fortifications. But there was one",ING,VERB,VB,think,0,No,NA,NA,NA,NEG,NOtoBefore,PRON,he,Animate,think,VBG
